LastUpdated: 31/12/2025,,"Names of forest reserves in gazettes and maps (""0"" if not found)",,,,,Notes on changes made to reserve names in maps of Dept Forestry 2022 and Dept Env 2012,
no,state,reserves_master,reserves_gaz,reserves_jpsm,reserves_doe,reserves_others,notes_deptfor,notes_deptenv
134,Perak,Bukit Payong (Perak),Bukit Payong (Perak),Bukit Payong (Perak),Bukit Payong (Perak),0,Reserve name changed from Bukit Payung (Kuala Kangsar) to Bukit Payong (Perak) to match gazette,Reserve name changed from Bukit Payung (Kuala Kangsar) to Bukit Payong (Perak) to match DeptForestry map
135,Pulau Pinang,Bukit Penara,0,Bukit Penara,Bukit Penara,0,,Reserve name changed from Penara Bukit to Bukit Penara to match DeptForestry map
136,Kedah,Bukit Perak,Bukit Perak,Bukit Perak,Bukit Perak,0,,
137,Kedah,Bukit Perangin,Bukit Perangin,Bukit Perangin,Bukit Perangin,0,,
138,Pulau Pinang,Bukit Relau,0,Bukit Relau,Bukit Relau,0,,
139,Terengganu,Bukit Sai,0,Bukit Sai,Bukit Sai,0,,
140,Kedah,Bukit Saiong,Bukit Saiong,Bukit Saiong,0,0,,
141,Kedah,Bukit Sawak,0,Bukit Sawak,Bukit Sawak,0,,
142,Melaka,Bukit Sedanan,0,Bukit Sedanan,Bukit Sedanan,0,,
143,Melaka,Bukit Senggeh,0,Bukit Senggeh,Bukit Senggeh,0,,
144,Pulau Pinang,Bukit Seraya,0,Bukit Seraya,Bukit Seraya,0,,
145,Perak,Bukit Slim,Bukit Slim,Bukit Slim,Bukit Slim,0,,Reserve name changed from Bukit Selim to Bukit Slim to match DeptForestry map
146,Perak,Bukit Slim Tambahan,Bukit Slim Tambahan,0,0,0,,
147,Selangor,Bukit Sungai Puteh (Selangor),Bukit Sungai Puteh (Selangor),Bukit Sungai Puteh (Selangor),Bukit Sungai Puteh (Selangor),0,"Merged Bukit Sungai Puteh (S), Bukit Sungai Puteh (U) into Bukit Sungai Puteh. Reserve name ""Selangor"" to differentiate from the Kuala Lumpur reserve","Merged Bukit Sungai Puteh (S), Bukit Sungai Puteh (U), into Bukit Sungai Puteh to match DeptForestry map after checking locations"
148,Kuala Lumpur,Bukit Sungai Puteh Perlindungan Burung-Burung,0,Bukit Sungai Puteh Perlindungan Burung-Burung,0,0,Reserve name changed from Bukit Sungai Puteh (Perlindungan Burung-Burung) to Bukit Sungai Puteh Perlindungan Burung-Burung to match gazette,
149,Kuala Lumpur,Bukit Sungei Puteh (Kuala Lumpur),Bukit Sungei Puteh (Kuala Lumpur),Bukit Sungei Puteh (Kuala Lumpur),Bukit Sungei Puteh (Kuala Lumpur),0,Reserve name changed from Bukit Sungai Puteh to Bukit Sungei Puteh (Kuala Lumpur) to match gazette and differentiate from the Selangor reserve,Reserve name changed from Bukit Sg Puteh to Bukit Sungei Puteh (Kuala Lumpur) to match DeptForestry map
150,Pahang,Bukit Taching,Bukit Taching,Bukit Taching,Bukit Taching,0,Merged Bukit Taching (Lipis) & Bukit Taching (Raub) into Bukit Taching. Reserve name changed from Bukit Taching (Lipis) to Bukit Taching to match gazette,"Merged Bukit Taching Raub, Bukit Taching Lipis into Bukit Taching to match DeptForestry map after checking locations"
151,Perak,Bukit Tapah,Bukit Tapah,Bukit Tapah,Bukit Tapah,0,,
152,Perak,Bukit Tapah Tambahan,Bukit Tapah Tambahan,0,0,0,,
153,Selangor,Bukit Tarek,Bukit Tarek,Bukit Tarek,Bukit Tarek,0,,
154,Selangor,Bukit Tarek Tambahan,0,Bukit Tarek Tambahan,Bukit Tarek Tambahan,0,,
155,Selangor,Bukit Tarek Tambahan II,Bukit Tarek Tambahan II,Bukit Tarek Tambahan II,Bukit Tarek Tambahan II,0,Reserve name changed from Bukit Tarek Tambahan 2 to Bukit Tarek Tambahan II to match gazette,Reserve name changed from Bukit Tarek Tambahan 2 to Bukit Tarek Tambahan II to match DeptForestry map
156,Terengganu,Bukit Terendak,Bukit Terendak,Bukit Terendak,Bukit Terendak,0,,
157,Pahang,Bukit Tinggi,Bukit Tinggi,Bukit Tinggi,Bukit Tinggi,0,,Part of Bukit Tinggi Tambahan was renamed to Bukit Tinggi to match DeptForestry map after checking location
158,Pahang,Bukit Tinggi Tambahan,0,Bukit Tinggi Tambahan,Bukit Tinggi Tambahan,0,,Part of Bukit Tinggi Tambahan was renamed to Bukit Tinggi to match DeptForestry map after checking location
159,Perlis,Bukit Tok Seri,Bukit Tok Seri,0,0,0,,
160,Perlis,Bukit Tung Tung,Bukit Tung Tung,Bukit Tung Tung,Bukit Tung Tung,0,Reserve name changed from Bukit Tung - Tung to Bukit Tung Tung to match gazette,Reserve name changed from Bukit Tung - Tung to Bukit Tung Tung to match DeptForestry map
161,Selangor,Buloh Telor Barat,Buloh Telor Barat,0,0,Buloh Telor Barat,,
162,Selangor,Buloh Telor Timur,Buloh Telor Timur,0,0,Buloh Telor Timur,,
163,Pahang,Bungor,0,Bungor,Bungor,0,,
164,Pahang,Bungor Tambahan,Bungor Tambahan,0,0,0,,
165,Pulau Pinang,Byram,Byram,Byram,Byram,0,,
166,Perak,Cabai Malai,0,Cabai Malai,Cabai Malai,0,,
167,Terengganu,Cerul,0,Cerul,Cerul,0,,
168,Kelantan,Chabang Tongkat,Chabang Tongkat,Chabang Tongkat,Chabang Tongkat,0,,
169,Perak,Changkat Keruing,Changkat Keruing,0,0,0,,
170,Kedah,Chebar Besar,0,Chebar Besar,Chebar Besar,0,,
171,Kedah,Chebar Kecil,0,Chebar Kecil,Chebar Kecil,0,,
172,Pahang,Cherating Paya Laut,0,Cherating Paya Laut,Cherating Paya Laut,0,,Reserve name changed from Paya Laut Cherating to Cherating Paya Laut to match DeptForestry map after checking location
173,Kelantan,Chiku,0,Chiku,Chiku,0,,
174,Pahang,Chini,Chini,Chini,Chini,0,"Merged Chini (Kuantan), Chini (Rompin), Chini (Temerloh) into Chini. Reserve name changed from Chini (Kuantan) to Chini to match gazette","Merged Chini Kuantan, Chini Rompin, Chini Temerloh into Chini to match DeptForestry map after checking locations"
175,Pahang,Chini Tambahan,Chini Tambahan,Chini Tambahan,Chini Tambahan,0,Reserve name changed from Chini Tambahan Temerloh to Chini Tambahan to match gazette,Reserve name changed from Ibam (Temerloh) to Chini Tambahan to match DeptForestry map after checking location
176,Perak,Chior Big Game,Chior Big Game,0,0,Chior Big Game,,
177,Pahang,Chuat,0,Chuat,Chuat,0,,
178,Pahang,Chuat Tambahan,Chuat Tambahan,Chuat Tambahan,Chuat Tambahan,0,,
179,Perak,Durian Pipit,Durian Pipit,0,0,0,,
180,Pahang,Endau,0,Endau,Endau,0,,
181,Pahang,Endau Paya Laut,0,Endau Paya Laut,Endau Paya Laut,0,,
182,Pahang,Endau Tambahan,Endau Tambahan,0,0,0,,
183,Perak,Erong,Erong,0,0,0,,
184,Selangor,Gading,0,Gading,Gading,0,,
185,Negeri Sembilan,Gallah,Gallah,Gallah,Gallah,0,,
186,Johor,Gantian Tenggaroh,0,0,Gantian Tenggaroh,0,,
187,Negeri Sembilan,Gapau,0,Gapau,Gapau,0,,
188,Pahang,Gayung,0,Gayung,Gayung,0,,
189,Negeri Sembilan,Gemas Selatan,Gemas Selatan,Gemas Selatan,Gemas Selatan,0,,
190,Johor,Gemereh,Gemereh,Gemereh,Gemereh,0,,
191,Perak,Gerik,Gerik,Gerik,Gerik,0,,
192,Kedah,Gua Cherita,0,Gua Cherita,Gua Cherita,0,,
193,Kelantan,Gunong Basor,Gunong Basor,Gunong Basor,Gunong Basor,0,Reserve name changed from Gunung Basor to Gunong Basor to match gazette,Reserve name changed from Gunung Basur to Gunong Basor to match DeptForestry map
194,Kelantan,Gunong Chamah,Gunong Chamah,0,0,0,,
195,Kelantan,Gunong Stong,Gunong Stong,0,0,0,,
196,Kelantan,Gunong Stong Selatan,Gunong Stong Selatan,Gunong Stong Selatan,Gunong Stong Selatan,0,Reserve name changed from Gunung Stong Selatan to Gunong Stong Selatan to match gazette,Reserve name changed from Gunung Stong Selatan to Gunong Stong Selatan to match DeptForestry map
197,Kelantan,Gunong Stong Tengah,Gunong Stong Tengah,Gunong Stong Tengah,Gunong Stong Tengah,0,Reserve name changed from Gunung Stong Tengah to Gunong Stong Tengah to match gazette,Reserve name changed from Gunung Stong Tengah to Gunong Stong Tengah to match DeptForestry map
199,Pahang,Gunung Aais,0,Gunung Aais,Gunung Aais,0,,
200,Pahang,Gunung Aais Tambahan,Gunung Aais Tambahan,Gunung Aais Tambahan,Gunung Aais Tambahan,0,Reserve name changed from Gunung Aais (Tambahan) to Gunung Aais Tambahan to match gazette,
201,Johor,Gunung Arong,Gunung Arong,Gunung Arong,Gunung Arong,0,,Reserve name changed from Gunong Arong to Gunung Arong to match DeptForestry map
202,Johor,Gunung Arong Tadahan Air,0,Gunung Arong Tadahan Air,Gunung Arong Tadahan Air,0,Reserve name changed from Gunung Arong ( Tadahan Air ) to Gunung Arong Tadahan Air to match gazette,Reserve name changed from Gunung Arong (Tadahan Air) to Gunung Arong Tadahan Air to match DeptForestry map
203,Johor,Gunung Arong Tambahan ,Gunung Arong Tambahan ,0,0,0,,
